epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,197.561,0.4971,0.47149,0.84837,0.99738,1,0.995,0.93421,0.40823,0.36678,0.64246,0.0006338,0.0006338,0.0006338
71,200.221,0.46873,0.45888,0.83407,0.99736,1,0.995,0.91046,0.42067,0.36894,0.63289,0.000614,0.000614,0.000614
72,202.917,0.461,0.44796,0.82411,0.99736,1,0.995,0.93309,0.38779,0.37071,0.63067,0.0005942,0.0005942,0.0005942
73,205.673,0.49391,0.46271,0.82043,0.99738,1,0.995,0.92938,0.38773,0.36755,0.62558,0.0005744,0.0005744,0.0005744
74,208.364,0.49348,0.43583,0.81498,0.99725,1,0.995,0.92834,0.41797,0.3989,0.62985,0.0005546,0.0005546,0.0005546
75,211.083,0.47258,0.43438,0.82564,0.99726,1,0.995,0.94703,0.38905,0.39969,0.62417,0.0005348,0.0005348,0.0005348
76,213.869,0.46827,0.45167,0.82885,0.99735,1,0.995,0.92429,0.40029,0.41467,0.62456,0.000515,0.000515,0.000515
77,216.56,0.48874,0.43282,0.83378,0.99742,1,0.995,0.90973,0.38622,0.42374,0.62925,0.0004952,0.0004952,0.0004952
78,219.206,0.45159,0.43218,0.82832,0.99747,1,0.995,0.89109,0.39001,0.3904,0.63586,0.0004754,0.0004754,0.0004754
79,221.862,0.39427,0.39246,0.7961,0.99748,1,0.995,0.88451,0.40097,0.41235,0.63925,0.0004556,0.0004556,0.0004556
80,224.503,0.46295,0.41937,0.8003,0.99741,1,0.995,0.90447,0.41412,0.37744,0.63926,0.0004358,0.0004358,0.0004358
81,227.236,0.50426,0.42368,0.83791,0.99732,1,0.995,0.91529,0.38755,0.3343,0.62536,0.000416,0.000416,0.000416
82,229.87,0.4349,0.40551,0.82578,0.99731,1,0.995,0.93418,0.35782,0.33013,0.61713,0.0003962,0.0003962,0.0003962
83,232.58,0.43787,0.37643,0.80963,0.99736,1,0.995,0.92049,0.36628,0.35346,0.63017,0.0003764,0.0003764,0.0003764
84,235.325,0.46913,0.41168,0.80979,0.99741,1,0.995,0.9352,0.37597,0.36093,0.6277,0.0003566,0.0003566,0.0003566
85,238.166,0.4563,0.4037,0.82026,0.99736,1,0.995,0.92548,0.36488,0.33127,0.63659,0.0003368,0.0003368,0.0003368
86,240.85,0.4502,0.41042,0.82515,0.9974,1,0.995,0.92694,0.3566,0.32156,0.63864,0.000317,0.000317,0.000317
87,243.556,0.48585,0.40722,0.82762,0.99741,1,0.995,0.92721,0.35241,0.32528,0.64344,0.0002972,0.0002972,0.0002972
88,246.283,0.44407,0.38705,0.81978,0.99735,1,0.995,0.92651,0.35887,0.31877,0.64591,0.0002774,0.0002774,0.0002774
