epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,114.249,0.33662,0.23576,0.44182,0.83332,0.85793,0.82158,0.9008,0.79441,0.85793,0.82158,0.90284,0.78263,0.45676,0.97657,0.8661,0.8474,0.00140845,0.00140845,0.00140845
49,116.654,0.33305,0.22505,0.48163,0.81566,0.89043,0.84827,0.93158,0.86402,0.89043,0.84827,0.93357,0.80431,0.3467,1.1674,0.694,0.81096,0.00140295,0.00140295,0.00140295
50,119.14,0.33244,0.21434,0.44633,0.82345,0.94056,0.90479,0.94146,0.8762,0.94633,0.91278,0.94605,0.81993,0.35895,1.1597,0.67303,0.82147,0.00139745,0.00139745,0.00139745
51,121.584,0.33284,0.22451,0.45161,0.82391,0.97228,0.98233,0.98514,0.91453,0.97228,0.98233,0.98981,0.87051,0.31316,0.97066,0.47474,0.8044,0.00139195,0.00139195,0.00139195
52,123.976,0.31898,0.23877,0.44017,0.82824,0.96068,0.98522,0.98655,0.89901,0.96572,0.99048,0.99159,0.89831,0.34286,1.05794,0.46319,0.82026,0.00138644,0.00138644,0.00138644
53,126.529,0.32043,0.22375,0.4266,0.82001,0.94517,0.94254,0.98002,0.90792,0.96116,0.92561,0.9854,0.89946,0.31362,0.72202,0.45402,0.82158,0.00138094,0.00138094,0.00138094
54,128.925,0.31602,0.22914,0.42942,0.81308,0.90816,0.98114,0.97952,0.92472,0.91307,0.98595,0.98432,0.88696,0.33939,0.54877,0.4706,0.81502,0.00137544,0.00137544,0.00137544
55,131.386,0.34267,0.21637,0.42166,0.81959,0.93791,0.99474,0.96072,0.90739,0.93791,0.99474,0.9652,0.85677,0.30371,0.44799,0.42387,0.80461,0.00136994,0.00136994,0.00136994
56,133.882,0.37241,0.22874,0.44178,0.82797,0.94058,0.95307,0.97448,0.92817,0.94058,0.95307,0.97723,0.86349,0.30905,0.45465,0.4203,0.80727,0.00136444,0.00136444,0.00136444
57,136.374,0.32789,0.23593,0.40961,0.8341,0.9434,0.99474,0.98707,0.93534,0.9434,0.99474,0.99026,0.88668,0.34146,0.46473,0.40672,0.81394,0.00135894,0.00135894,0.00135894
58,138.702,0.3182,0.22825,0.41874,0.83314,0.97882,1,0.99324,0.94208,0.97882,1,0.99324,0.89395,0.30753,0.43315,0.39143,0.8085,0.00135344,0.00135344,0.00135344
59,141.003,0.30728,0.21095,0.3984,0.82019,0.98212,0.99886,0.99454,0.92333,0.98212,0.99886,0.99454,0.89978,0.33454,0.35488,0.43699,0.83128,0.00134794,0.00134794,0.00134794
60,143.413,0.30881,0.2107,0.4081,0.80622,0.97744,0.99474,0.99356,0.9139,0.97744,0.99474,0.99356,0.8732,0.3297,0.33838,0.41787,0.82915,0.00134244,0.00134244,0.00134244
61,145.822,0.3218,0.22347,0.39164,0.82351,0.97753,0.98947,0.99012,0.93427,0.98271,0.99474,0.99432,0.88911,0.28724,0.33552,0.3749,0.81331,0.00133693,0.00133693,0.00133693
62,148.16,0.30864,0.2069,0.38438,0.80485,0.97977,0.9976,0.99385,0.91301,0.97977,0.9976,0.99385,0.87991,0.30903,0.28981,0.37989,0.81843,0.00133143,0.00133143,0.00133143
63,150.623,0.31181,0.20042,0.38334,0.81904,0.98178,0.95345,0.99053,0.91415,0.98178,0.95345,0.99053,0.83612,0.29414,0.32937,0.37359,0.8135,0.00132593,0.00132593,0.00132593
64,152.993,0.31628,0.17316,0.3785,0.81831,0.98182,1,0.99376,0.91207,0.98182,1,0.99376,0.84623,0.30339,0.33981,0.37321,0.81629,0.00132043,0.00132043,0.00132043
65,155.331,0.30587,0.19423,0.37684,0.81414,0.9783,0.99022,0.99288,0.92909,0.9783,0.99022,0.99288,0.8603,0.29064,0.31995,0.37898,0.81884,0.00131493,0.00131493,0.00131493
66,157.709,0.2929,0.20079,0.36275,0.81872,0.94541,0.97858,0.97615,0.91693,0.94541,0.97858,0.97615,0.85505,0.29482,0.33007,0.43829,0.8211,0.00130943,0.00130943,0.00130943
